,contexts,question,answer,ground_truth
0,,  Describe the story of Lord Brahma's creation of the universe as depicted in the Brahmanda Purana," Lord Brahma creates the universe through his divine powers, bringing forth the celestial beings, the realms, and the elements of existence"," Lord Brahma creates the universe through his divine powers, bringing forth the celestial beings, the realms, and the elements of existence"
1," Brahmanda Purana, Book , Chapter , verse - - Then, O sage, the self-born Lord Brahma, who was well-contented, created the world by means of his divine powers Brahma, having pleased himself in his own self, created gods, demons, celestial sages, serpents, Gandharvas, Apsarasas, Yakshas, Rishis, Siddhas, great-souled ones and human beings","  Name the cosmic egg mentioned in the Brahmanda Purana, from which the universe originates", The cosmic egg is known as the Hiranyagarbha, The cosmic egg is known as the Hiranyagarbha
2," Brahmanda Purana, Book , Chapter , verse  - This egg is called the Mahākāla-Hiraṇyagarbha, a tiny object, massive in energy, subtle and eternal It is without sound, touch, form, taste, and smell",  Explain the concept of Yugas (eras) as depicted in the Brahmanda Purana," Yugas refer to the cyclical ages that shape the course of human civilization, consisting of four distinct epochs: Satya Yuga, Treta Yuga, Dvapara Yuga, and Kali Yuga"," Yugas refer to the cyclical ages that shape the course of human civilization, consisting of four distinct epochs: Satya Yuga, Treta Yuga, Dvapara Yuga, and Kali Yuga"
3," Brahmanda Purana, Book , Chapter , verses - - The Kṛta Yuga is of , divine years; the Tretā Yuga, , divine years; the Dvāpara Yuga, , divine years; the Kali Yuga is of , divine years",  Name the celestial weapon associated with Lord Vishnu in the Brahmanda Purana, The celestial weapon is called the Sudarshana Chakra, The celestial weapon is called the Sudarshana Chakra
4," Brahmanda Purana, Book , Chapter , verse  - The Sūdarśana disc which you have described to me is of that very nature It is named after the powerful deity Sudarśana",  Explain the concept of Srishti (creation) and Pralaya (dissolution) as depicted in the Brahmanda Purana," Srishti refers to the cyclic process of creation, while Pralaya refers to the dissolution or cosmic destruction that precedes a new cycle of creation"," Srishti refers to the cyclic process of creation, while Pralaya refers to the dissolution or cosmic destruction that precedes a new cycle of creation"
5," Brahmanda Purana, Book , Chapter , verse - - When everything becomes dissolved and disappears, it is the dissolution, O dear child When everything comes into existence again, it is the creation, O dear one Pralaya is when everything dissolves; Srishti is when everything comes into existence",  Name the sage who received divine knowledge from Lord Brahma in the Brahmanda Purana, The sage's name was Vyasa, The sage's name was Vyasa
6," Brahmanda Purana, Book , Chapter , verse  - Vyāsa, who was well-versed in the knowledge of the Vedas, acquired knowledge, directly from the creator of all beings, of the present and the future",  What is the significance of the sacred river Ganga in the Brahmanda Purana?," The Ganga River is considered a sacred river associated with purification, spiritual liberation, and divine blessings"," The Ganga River is considered a sacred river associated with purification, spiritual liberation, and divine blessings"
7," Brahmanda Purana, Book , Chapter , verse  - The holy river Gaṅgā purifies the three worlds It is situated in all the three worlds and it is resorted to by all great sages desirous of emancipation",  Describe the celestial abode of Lord Shiva mentioned in the Brahmanda Purana," Lord Shiva's celestial abode is called Kailasa, a majestic mountain peak surrounded by divine beings, sages, and celestial wonders"," Lord Shiva's celestial abode is called Kailasa, a majestic mountain peak surrounded by divine beings, sages, and celestial wonders"
8," Brahmanda Purana, Book , Chapter , verse  - That mountain peak, Kailāsa, is very dear to Śiva, the lord of gods It is surrounded by a thousand sages and groups of celestial nymphs",  Name the demon king who performed intense penance to please Lord Shiva in the Brahmanda Purana, The demon king's name was Ravana, The demon king's name was Ravana
9," Brahmanda Purana, Book , Chapter , verse  - Rāvaṇa, the lord of Rākṣasas, the son of Viśravā, performed a very difficult penance to please Śiva, the lord of the universe",  Explain the concept of Karma as depicted in the Brahmanda Purana," Karma refers to the law of cause and effect, where actions and intentions have consequences that shape one's future experiences"," Karma refers to the law of cause and effect, where actions and intentions have consequences that shape one's future experiences"
10," Brahmanda Purana, Book , Chapter , verse  - It is only through Karma that a person, born of his own past action, rejoices or suffers in this world, O wise one There is no other cause",  Name the celestial weapon obtained by Lord Rama with Lord Vishnu's blessings in the Brahmanda Purana, The celestial weapon is called the Brahmastra, The celestial weapon is called the Brahmastra
11," Brahmanda Purana, Book , Chapter , verse  - Then Rāma, with the power of his own strength, discharged the great missile Brahmāstra",  Describe the story of Lord Vishnu's Mohini avatar in the Brahmanda Purana," Lord Vishnu assumes the form of the enchanting Mohini, a female incarnation, to retrieve the elixir of immortality from the demons and restore it to the gods"," Lord Vishnu assumes the form of the enchanting Mohini, a female incarnation, to retrieve the elixir of immortality from the demons and restore it to the gods"
12," Brahmanda Purana, Book , Chapter , verse - - Thereafter, he transformed himself into a beautiful woman of enchanting features and captivating glances, by name Mohinī She retrieved the vessel filled with the immortal elixir from the Asuras and handed it over to the gods",  What is the significance of the sacred river Saraswati in the Brahmanda Purana?," The Saraswati River is considered a sacred river associated with knowledge, wisdom, and the arts"," The Saraswati River is considered a sacred river associated with knowledge, wisdom, and the arts"
13," Brahmanda Purana, Book , Chapter , verse  - This divine Sarasvatī River bestows the best among the yogins with salvation It is the river of knowledge and the river of wisdom",  Name the sage who compiled the Brahmanda Purana in its current form, The sage's name was Vyasa, The sage's name was Vyasa
14," Brahmanda Purana, Introduction section - By great sages, the Veda-Vyāsa, the greatest sage, has been known to have compiled eighteen Purāṇas, among which the Brahmanda Purāṇa is one",  Explain the concept of Shraddha (ancestral reverence) as depicted in the Brahmanda Purana," Shraddha refers to the ritualistic reverence and offerings made to ancestors, honoring their memory and seeking their blessings"," Shraddha refers to the ritualistic reverence and offerings made to ancestors, honoring their memory and seeking their blessings"
15," Brahmanda Purana, Book , Chapter , verse  - Śrāddha is an excellent sacrifice It is eternal and one that bestows happiness It is the embodiment of all desires and is the culmination of all goals",  Describe the story of Lord Shiva's Ardhanarishvara form in the Brahmanda Purana," Lord Shiva assumes the half-male and half-female form known as Ardhanarishvara, symbolizing the union of masculine and feminine energies"," Lord Shiva assumes the half-male and half-female form known as Ardhanarishvara, symbolizing the union of masculine and feminine energies"
16," Brahmanda Purana, Book , Chapter , verse - - Śiva assumed an excellent form, half male and half female In that Ardhanārīśvara form, half of the body was radiant with red brilliance and the other half, covered by a white robe, had a moon With the crescent moon as the ornament, He shone brightly",  Name the celestial weapon associated with Goddess Durga in the Brahmanda Purana, The celestial weapon is called the Trishula (trident), The celestial weapon is called the Trishula (trident)
17," Brahmanda Purana, Book , Chapter , verse  - Her hands held a conch, a discus, a sword, a shield, a noose, a goad, a spear, an arrow, a plough, a club, a bow, and a trident",  Explain the concept of Bhakti (devotion) as depicted in the Brahmanda Purana," Bhakti refers to profound devotion and surrender to the divine, leading to spiritual union and liberation"," Bhakti refers to profound devotion and surrender to the divine, leading to spiritual union and liberation"
18," Brahmanda Purana, Book , Chapter , verse - - The means of liberation is exclusive devotion to Viṣṇu, the lotus-eyed Supreme Lord Such devotion to Viṣṇu purifies the soul completely That devotion is exclusively practised by good men",  Name the celestial bird associated with Lord Brahma in the Brahmanda Purana, The celestial bird is called Hamsa (swan), The celestial bird is called Hamsa (swan)
19," Brahmanda Purana, Book , Chapter , verse  - Seated on a swan (hamsa) with beautiful feet, Lord Brahmā the grandfather of the world and the lord of speech, reached that place",  Explain the concept of Loka (cosmic realm) as depicted in the Brahmanda Purana," Loka refers to the various realms or dimensions of existence within the universe, inhabited by different beings and governed by different principles"," Loka refers to the various realms or dimensions of existence within the universe, inhabited by different beings and governed by different principles"
20," Brahmanda Purana, Book , Chapter , verse - - These fourteen worlds exist within the great egg Seven are above and seven are below the earth The fourteen worlds, O sage, are inhabited by living beings",  Name the demon king who was granted boons by Lord Brahma in the Brahmanda Purana, The demon king's name was Hiranyakashipu, The demon king's name was Hiranyakashipu
21," Brahmanda Purana, Book , Chapter , verse - - Hiraṇyakaśipu, the lord of Rākṣasas, pleased Lord Brahmā, the creator of the worlds, through his severe austerities",  Describe the story of Lord Vishnu's Narasimha avatar (man-lion incarnation) in the Brahmanda Purana," Lord Vishnu takes the form of Narasimha, a half-human and half-lion form, to protect his devotee Prahlada and destroy the demon king Hiranyakashipu"," Lord Vishnu takes the form of Narasimha, a half-human and half-lion form, to protect his devotee Prahlada and destroy the demon king Hiranyakashipu"
22," Brahmanda Purana, Book , Chapter , verse - - Then, in order to fulfill the boon to Brahmā, Viṣṇu, the killer of Madhu, went to a lonely place He became Nṛsiṁha, half human and half lion",  What is the significance of the sacred river Yamuna in the Brahmanda Purana?," The Yamuna River is considered a sacred river associated with purity, devotion, and spiritual liberation"," The Yamuna River is considered a sacred river associated with purity, devotion, and spiritual liberation"
23," Brahmanda Purana, Book , Chapter , verse  - The devotees who take a bath in the holy Yamunā, whether with devotion or without devotion, attain the same result - unending heaven and salvation",  Name the sage who received divine knowledge of the Puranas from Lord Brahma in the Brahmanda Purana, The sage's name was Sanatkumara, The sage's name was Sanatkumara
24," Brahmanda Purana, Book , Chapter , verse  - The creator of the worlds, Brahmā, narrated the Purāṇas to Sanatkumāra, the eldest among the eternal sons",  Explain the concept of Maya (illusion) as depicted in the Brahmanda Purana, Maya refers to the cosmic illusion that veils one's true nature and binds them to the material world, Maya refers to the cosmic illusion that veils one's true nature and binds them to the material world
25," Brahmanda Purana, Book , Chapter , verse - - The supreme power of Maya deludes all living beings Deluded by her, they perceive her alone She covers the entire world with her illusory power",  Name the celestial weapon obtained by Lord Shiva with Lord Vishnu's blessings in the Brahmanda Purana, The celestial weapon is called the Pashupatastra, The celestial weapon is called the Pashupatastra
26," Brahmanda Purana, Book , Chapter , verse - - Viṣṇu, the lord of Lakṣmī, made the powerful bow of Śiva invisible From the invisible bow, O sage, Śiva took out an arrow named Pāśupata",  What is the significance of the sacred river Godavari in the Brahmanda Purana?," The Godavari River is considered a sacred river associated with spiritual purification, penance, and divine blessings"," The Godavari River is considered a sacred river associated with spiritual purification, penance, and divine blessings"
27," Brahmanda Purana, Book , Chapter , verse  - Brahmā, Viṣṇu, and Śiva reside in Godāvarī It is said that the saints purify their minds and then take a dip in Godāvarī",  Describe the story of the churning of the cosmic ocean (Samudra Manthan) in the Brahmanda Purana," Devas (celestial beings) and Asuras (demons) join forces to churn the cosmic ocean, leading to the emergence of various celestial treasures and divine beings"," Devas (celestial beings) and Asuras (demons) join forces to churn the cosmic ocean, leading to the emergence of various celestial treasures and divine beings"
28," Brahmanda Purana, Book , Chapter , verse - - They put the divine serpent Vāsuki on their side and engaged in churning the ocean of milk",  Explain the concept of Dharma (righteousness) as depicted in the Brahmanda Purana," Dharma refers to the moral and ethical principles that govern one's thoughts, actions, and responsibilities, leading to a harmonious and righteous way of life"," Dharma refers to the moral and ethical principles that govern one's thoughts, actions, and responsibilities, leading to a harmonious and righteous way of life"
29," Brahmanda Purana, Book , Chapter , verse  - When Dharma is not practised, O king, the sons turn wicked, parents turn wicked, brothers turn wicked, and friends turn wicked",  Name the celestial weapon associated with Lord Brahma in the Brahmanda Purana, The celestial weapon is called the Brahmastra, The celestial weapon is called the Brahmastra
30," Brahmanda Purana, Book , Chapter , verse  - Brahmā is the creator of all the worlds He is the one who handed over the Brahmāstra to Kārtikeya",  Describe the story of Lord Vishnu's Parashurama avatar in the Brahmanda Purana," Lord Vishnu takes the form of Parashurama, a warrior sage, to annihilate the corrupt and restore righteousness on Earth"," Lord Vishnu takes the form of Parashurama, a warrior sage, to annihilate the corrupt and restore righteousness on Earth"
31," Brahmanda Purana, Book , Chapter , verse - - Then Viṣṇu, the soul of the universe, born in the house of Bhrigu, became extremely angry He then annihilated the Kṣatriyas twenty-one times with his axe",  Name the celestial weapon associated with Lord Shiva in the Brahmanda Purana, The celestial weapon is called the Pinaka, The celestial weapon is called the Pinaka
32," Brahmanda Purana, Book , Chapter , verse  - Then the lord, the performer of hundred sacrifices, took out his wonderful bow named Pināka",  Explain the concept of Samsara (cycle of birth and death) as depicted in the Brahmanda Purana," Samsara refers to the continuous cycle of birth, death, and rebirth experienced by all living beings, driven by the law of karma"," Samsara refers to the continuous cycle of birth, death, and rebirth experienced by all living beings, driven by the law of karma"
33," Brahmanda Purana, Book , Chapter , verse  - Due to attachment and ignorance, men move through the cycle of birth and death There is no end to this cycle, just as there is no end to the course of rivers",  Name the celestial bird associated with Lord Vishnu in the Brahmanda Purana, The celestial bird is called Garuda, The celestial bird is called Garuda
34," Brahmanda Purana, Book , Chapter , verse  - O son of Kuntī, the imperishable, exalted Lord Viṣṇu rides on Garuḍa, the excellent bird",  Explain the concept of Tapasya (austerity) as depicted in the Brahmanda Purana," Tapasya refers to severe penance, self-discipline, and spiritual practices undertaken to attain divine favor and spiritual enlightenment"," Tapasya refers to severe penance, self-discipline, and spiritual practices undertaken to attain divine favor and spiritual enlightenment"
35," Brahmanda Purana, Book , Chapter , verse - - Without wisdom, O son of Pāṇḍu, Tapas is difficult to perform With austerity, the mind becomes concentrated Through concentration, wisdom dawns",  Name the demon king who sought immortality through severe penance in the Brahmanda Purana, The demon king's name was Bali, The demon king's name was Bali
36," Brahmanda Purana, Book , Chapter , verse  - The powerful and irrepressible Bali sought to conquer the three worlds by means of his Tapas",  Describe the story of Lord Vishnu's Varaha avatar (boar incarnation) in the Brahmanda Purana, Lord Vishnu takes the form of a giant boar (Varaha) to rescue the Earth goddess and restore balance after it is submerged in the cosmic waters, Lord Vishnu takes the form of a giant boar (Varaha) to rescue the Earth goddess and restore balance after it is submerged in the cosmic waters
37," Brahmanda Purana, Book , Chapter , verse - - Then he, who had assumed the form of a boar, lifted the earth-goddess who had sunk deep into the netherworlds",  What is the significance of the sacred river Narmada in the Brahmanda Purana?," The Narmada River is considered a sacred river associated with purification, penance, and spiritual liberation"," The Narmada River is considered a sacred river associated with purification, penance, and spiritual liberation"
38," Brahmanda Purana, Book , Chapter , verse  - Taking bath in the Narmadā, which is known to purify all living beings, is equal to the fruits of performing a sacrifice",  Explain the concept of Atman (the eternal self) as depicted in the Brahmanda Purana, Atman refers to the individual soul or the eternal self that is indestructible and distinct from the physical body, Atman refers to the individual soul or the eternal self that is indestructible and distinct from the physical body
39," Brahmanda Purana, Book , Chapter , verse  - The body, which is not the self, is subject to destruction The self does not perish when the body perishes",  Name the sage who played a pivotal role in the narrative of the Brahmanda Purana, The sage's name was Vyasa, The sage's name was Vyasa
40," Brahmanda Purana, Introduction section - By great sages, the Veda-Vyasa, the greatest sage, has been known to have compiled eighteen Purāṇas, among which the Brahmanda Purāṇa is one",  What is the significance of the sacred Mount Meru in the Brahmanda Purana?, Mount Meru is considered a sacred mountain believed to be the axis of the universe and the abode of gods and celestial beings, Mount Meru is considered a sacred mountain believed to be the axis of the universe and the abode of gods and celestial beings
