Question,Answer,Context
"1.Question: According to the passage, who cursed Lakshmi to live in the ocean?",Answer: The sage Durvasa.,
2.Question: What is the significance of Lakshmi according to Vishnu?,Answer: Lakshmi helps Vishnu delude the universe with illusions (maya) and grants him powers.,"Context: ""But the demons defeated the gods and Indra. The sage Durvasa therefore cursed Lakshmi that she would have to live in the ocean."""
3.Question: Who did Indradyumna pray to in order to gain insight into true knowledge?,Answer: Indradyumna prayed to Vishnu.,"Context: ""It is with her help that I delude the universe and its inhabitants with my illusions (maya). It is Lakshmi who gives me all my powers, although she is no different from me in essence."""
"4.Question: What are the four classes (varnas) created by Brahma, according to Vishnu?","Answer: The four classes are brahmanas, kshatriyas, vaishyas, and shudras.","Context: ""When Lakshmi appeared, Indradyumna begged of her, 'Please tell me about yourself. Please give me insight into what constitutes true knowledge.' 'Even the gods and the sages are unable to comprehend my true nature,' replied Lakshmi. 'I am Vishnu's illusions and there is no difference between him and me. As for knowledge, it is beyond my powers to grant you that. You will have to pray to the great Vishnu himself.'"""
5.Question: Which stage of life involves retiring to the forest and living on fruits and roots?,Answer: The vanaprastha (forest dwelling) stage.,"Context: ""The brahmanas constitute the first of the four classes... The kshatriyas constitute the second of the four classes... The vaishyas constitute the third of the four classes... The shudras constitute the last of the four classes."""
"6.Question: Who emerged from Vishnu's anger, according to the passage?",Answer: Shiva.,"Context: ""The third stage of life is vanaprastha (forest dwelling stage). Such a person retires to the forest and lives on fruits and roots. He studies the Vedas, performs tapasya (meditation), and observes religious rites."""
"7.Question: What is the primary duty of the vaishyas, according to Vishnu's instructions?",Answer: Agriculture.,"Context: ""And Shiva emerged from Vishnu's anger."""
"8.Question: What are the six recommended actions for brahmanas, as mentioned in the passage?","Answer: Yajana (performing sacrifices), yajana (acting as priests at sacrifices), dana (donation of alms), pratigraha (receiving gifts), adhyapana (teaching), and adhyayana (studying).","Context: ""Like the kshatriyas, the vaishyas can also donate alms, study, and perform sacrifices. But their primary duty is agriculture."""
"9.Question: What is the first stage of life mentioned in the passage, and what are its primary duties?",Answer: The first stage is brahmacharya (celibate studenthood). Its primary duties are studying the Vedas and serving one's guru (teacher) well.,"Context: ""There are six types of action that are recommended for brahmanas. These are yajana (performing sacrifices), yajana (acting as priests at sacrifices), dana (donation of alms), pratigraha (receiving gifts), adhyapana (teaching), and adhyayana (studying)."""
"10.Question: According to the passage, what is the ultimate goal of a sannyasa (hermit)?",Answer: To attain supreme wisdom.,"Context: ""The first one is brahmacharya (celibate studenthood). The primary duties of a person who is in this stage of life are studying the Vedas and serving one's guru (teacher) well."""
11.Question: Who are the nine sons of Brahma mentioned in the passage?,"Answer: Marichi, Bhrigu, Angira, Pulastya, Pulaha, Kratu, Daksha, Atri, and Vashishtha.","Context: ""There are two types of hermits. The first type consists of those who are trying to realize the true nature of the atman (human soul). Such a person treats all other individuals as he would treat himself and is known as a yogi. But there are also hermits who go through intense meditation so as to attain the supreme wisdom. Such a person is known as a paramaeshthika."""
"12.Question: What are the primary duties of a kshatriya, according to Vishnu's instructions?","Answer: To take up arms, fight, punish evil, and protect the good.","Context: ""Brahma created nine sons from his mental powers. Their names were Marichi, Bhrigu, Angira, Pulastya, Pulaha, Kratu, Daksha, Atri, and Vashishtha."""
13.Question: What are the three stages of life mentioned in the passage?,"Answer: Brahmacharya (celibate studenthood), Grihastha (householder stage), and Vanaprastha (forest dwelling stage).","Context: ""The duties of kshatriyas include dana (donation of alms), adhyayana (studying), and performing yajnas (sacrifices). But their primary duties are to take up arms and fight. It is their job to punish the evil and protect the good."""
"14.Question: What are the traits demanded by the righteous way of life, as mentioned in the passage?","Answer: Forgiveness, pity, non-jealousy, sacrifice of selfish interests, truthfulness, practice of non-violence, sense control, and visiting tirthas (places of pilgrimage).","Context: ""The first stage of life is brahmacharya (celibate studenthood). The second stage of life is Grihastha (householder stage). The third stage of life is Vanaprastha (forest dwelling stage)."""
15.Question: What happens when an individual performs actions according to the concept mentioned in the passage?,Answer: The fruits of all actions vest with the Brahman (the divine essence).,"Context: ""There are various other traits that are demanded by the righteous way of life. One must forgive and display pity. One must not be jealous and must be ready to sacrifice one's own selfish interests. One must be truthful, practice non-violence, and learn to control the senses. One must also visit tirthas (places of pilgrimage)."""
