Question,Answer,Context
1. Question: Who approached Markandeya with a curious question about the Mahabharata?,"Answer: Jaimini, a disciple of sage Veda Vyasa, approached Markandeya with a curious question about the Mahabharata.",
"2. Question: What topics were described in the great epic Mahabharata, which appeared to be intertwined and separate at times?","Answer: The topics described in the great epic Mahabharata were Dharma, Arth, Kama, and Moksha.","Lines: ""Once Jaimini, a disciple of sage Veda Vyasa, expressed his curiosity before Markandeya..."""
3. Question: Why did Jaimini approach Markandeya to grasp the full knowledge contained in the Mahabharata?,"Answer: Jaimini approached Markandeya to grasp the full knowledge contained in the Mahabharata with his help, as it contained cryptic knowledge of Vedas.","Lines: ""...description of Dharma, Arth, Kama, and Moksha appears to be intertwined at times and at other times, it appears to be separate from one another."""
"4. Question: According to Markandeya, why did the Lord take human incarnation despite being the cause of the origin, perpetuation, and destruction of the universe?",Answer: Markandeya's response to this question is not mentioned in the provided text.,"Lines: ""Veda Vyasa had described the norms, the stages, and the means to perform the duties in all the four stages. This epic contains cryptic knowledge of Vedas. Hence O great sage! I have approached you in order to grasp the full knowledge contained in Mahabharata with your help."""
5. Question: How did Draupadi become the wife of five Pandavas?,Answer: The explanation about how Draupadi became the wife of five Pandavas is not mentioned in the provided text.,
6. Question: How did Balarama expiate for the sin of killing a Brahmin?,Answer: The explanation about how Balarama expiated for the sin of killing a Brahmin is not mentioned in the provided text.,
7. Question: How did Draupadi's sons give up their lives?,Answer: The explanation about how Draupadi's sons gave up their lives is not mentioned in the provided text.,
8. Question: Who did Markandeya suggest Jaimini approach to gain a detailed narration of Mahabharata and have all his doubts cleared?,"Answer: Markandeya suggested that Jaimini should approach the sons of the great bird Drona - Pingaksha, Vibodha, Suputra, Sumuk, etc., who stay in the caves among the hills of Vindhyachal. They are proficient in Vedas and would be able to remove all his doubts.",
9. Question: Why did Markandeya call those birds the sons of Drona?,"Answer: The birds were called the sons of Drona because they were born in the lineage of the avian King Garuda, and one of the brothers, Kank, married his daughter Tarkshi to Drona.","Lines: ""Hence I do not have time to narrate these things in detail. But I am telling you about the birds which will narrate you the entire content of Mahabharata. Those birds will also remove all your doubts. Sons of the great bird Drona- Pingaksha, Vibodha, Suputra, Sumuk, etc. stay in the caves among the hills of Vindhyachal. They are proficient in Vedas. Go and ask them, they will remove all your doubts."""
"10. Question: How did the birds, later known as the sons of Drona, come to acquire profound knowledge despite being born in the form of birds?","Answer: The birds were actually the sons of Sukrish, who was cursed by his father, Vipulasvan, to take birth as birds due to an incident involving Indra disguised as an aged bird. The curse bestowed upon them supreme knowledge even in the form of birds.","Lines: ""In the lineage of the avian King Garuda, there were two brothers - Kank and Kandhar... Kandhar married his daughter, Tarkshi, to Drona."""
"11. Question: Why did Kank, one of the avian brothers, get killed by the demon Vidrayudrup?",Answer: Kank got killed by the demon Vidrayudrup when he visited Kailash Parbat and showed his displeasure at Kank's arrival at an improper time.,"Lines: ""Long ago, there used to live a sage, Vipulasvan. He had two sons - Sukrish and Tumbaru... We requested him to take back his words, but he said that his words would not go futile. But still, he blessed us to have supreme knowledge even in the form of birds."""
12. Question: How did Kandhar retaliate against the demon Vidrayudrup for killing his brother Kank?,"Answer: After performing the last rites of his brother, Kandhar arrived on the mountain and challenged the demon Vidrayudrup to have a fight. In the fierce battle that ensued, Kandhar killed the demon.","Lines: ""One day, Kank visited Kailash Parbat where a demon Vidrayudrup, who was a slave of Kubera, was enjoying privacy with his wife and drinking wine. Seeing Kank, the demon showed his displeasure at his arrival at an improper time."""
"13. Question: Who was Madanika, and what happened to her after the death of the demon Vidrayudrup?","Answer: Madanika was the wife of the demon Vidrayudrup. After her husband's death, she found herself in a helpless situation and accepted Kandhar as her husband.","Lines: ""Kandhar then challenged the demon to have a fight with him. A fierce battle ensued between them. Ultimately, Kandhar killed the demon."""
14. Question: How did the birds come to take birth in the battlefield of Mahabharata?,"Answer: The bird Tarkshi (formerly known as Madanika, the daughter of Menka, the apsara) was hit by an arrow during the battle of Mahabharata. As a result, four eggs fell from her abdomen and were covered by a bell that fell from Supratik's neck, the elephant of Bhagdatt.","Lines: ""The demon's wife Madanika, finding herself in a helpless situation, accepted Kandhar as her husband."""
