Question,Answer,Context
1. Question:  What did Sage Lomaharshan instruct his son Ugrashrava to do after revealing the contents of all the Puranas to him?,Answer:  Sage Lomaharshan instructed Ugrashrava to go to 'Naimisharanya' and spread the knowledge among the sages doing penance there.,
2. Question:  How did the sacred forest of Naimish get its name?,"Answer:  The forest of Naimish got its name from the term 'Nemi' in Sanskrit, which means circumference. It happened when one of the circumferences of Lord Vishnu's chakra fell at a place called Gangavarta.","Context:  ""Having revealed the contents of all the Puranas to his son Ugrashrava, Sage Lomaharshan instructed him to go to 'Naimisharanya' and spread it among the sages doing penance over there."""
"3. Question:  What are the five sections of the Padma Purana, and who narrated these tales to Lord Brahma?","Answer:  The five sections of the Padma Purana are SrishtiKhand, BhumiKhand, Swarg Khand, Patal Khand, and UttamKhand. Lord Vishnu himself narrated these tales to Lord Brahma.","Context:  ""Once, the sages sought Lord Vishnu's help in finding a suitable place, where they could perform their religious activities unhindered. Lord Vishnu released his chakra and instructed them to follow it. 'This chakra had many circumferences (Nemi), and all of you can commence your penance at the place where one of them gets detached from the chakra' —said Lord Vishnu... One of the circumferences of chakra got detached and fell at a place called Gangavarta. In course of time, this particular place was famous as 'Naimish' because the term 'Nemi' in Sanskrit means circumference."""
4. Question:  What did Sage Pulastya tell Bhishma when Bhishma was doing penance at Gangadwar?,Answer:  Sage Pulastya informed Bhishma that Lord Brahma was pleased by his penance and asked him to ask for any boon he desired.,"Context:  ""Suta replied — Padma Purana consists of five sections and fiftyfive thousand shlokas. The names of these sections are SrishtiKhand, BhumiKhand, Swarg Khand, Patal Khand, and UttamKhand. The tales of Padma Purana praise the glory of Lord Vishnu. These tales were narrated to Lord Brahma by Lord Vishnu himself, who in turn propagated them in this world through various sages."""
5. Question:  What did Pulastya reveal about the process of creation by Lord Brahma?,"Answer:  Pulastya explained that Lord Brahma first created the Mahattatva, followed by the three types of Ego (Satva, Rajas, and Tamas), and then the five senseorgans, organs of action, and the basic elements (space, water, fire, air,and earth).","Context:  ""Bhishma was doing penance at a place called Gangadwar. Being pleased by his austere penance, Lord Brahma instructed Pulastya to go to Gangadwar and bless Bhishma. After reaching there, Pulastya told Bhishma that Lord Brahma was pleased by his penance. 'Ask any boon you wish for,' said Pulastya."""
6. Question:  How did Lord Brahma create the universe after creating the Mahattatva and the basic elements?,"Answer:  Lord Brahma created an enormous egg with the permutation and combination of the five basic elements, and within this egg exists the entire universe, including mountains, islands, oceans, planets, deities, demons, and human beings.","Context:  ""Pulastya replied — During the initial phase of his creation, Lord Brahma created the Mahattatva first of all. After that, he created the three types of Ego from the Mahattatva — Satva, Rajas, and Tamas. These three types of Ego are the origins of all the five senseorgans, organs of action, and all the five basic elements — space, water, fire, air, and earth."""
7. Question:  What is the purpose of Lord Vishnu taking various incarnations?,Answer:  Lord Vishnu takes various incarnations to protect mankind.,"Context:  ""An enormous egg came into existence with the permutation and combination of these five basic elements. Within this egg exists the whole universe, including the mountains, islands, oceans, planets, deities, demons, and human beings."""
8. Question:  What happens at the end of the Kalpa?,"Answer:  At the end of the Kalpa, Lord Vishnu, in the form of Rudra, annihilates everything.","Context:  ""Lord Vishnu himself does creation in the form of Lord Brahma and takes various incarnations to protect mankind."""
9. Question:  What is the duration of each yuga and the total duration of the Chaturyuga cycle?,"Answer:  Each yuga has the following durations:  Satya Yuga  4000 years, Treta Yuga  3000 years, Dwapar Yuga  2000 years, and Kali Yuga  1000 years. The total duration of one Chaturyuga cycle is 10,000 years.","Context:  ""At the end of the Kalpa, it is only He, who annihilates in the form of Rudra."""
"10. Question:  How long is one day of Lord Brahma's life, and what happens during one Brahma's day?","Answer:  One day of Lord Brahma's life is equivalent to 4,29,40,80,000 years. During one Brahma's day, fourteen Manu appear, and creation, as well as destruction, takes place.","Context:  ""Satya Yuga  4000 years. Treta Yuga  3000 years. Dwapar Yuga  2000 years. Kali Yuga  1000 years. Total  10,000 years."""
11. Question:  What did Bhishma request Sage Pulastya to describe?,Answer:  Bhishma requested Sage Pulastya to describe how Lord Brahma created life at the beginning of the present Kalpa.,"Context:  ""A Brahma's day consists of onethousand such 'Chaturyugas'. Altogether, fourteen Manu appear during this whole period of 1000 Chaturyugas or, in other words, a day of Lord Brahma."""
12. Question:  What did Lord Brahma do when he awakened from his sleep at the end of the previous Kalpa?,"Answer:  Lord Brahma found the entire earth submerged in water, so he meditated on Lord Vishnu, who took the incarnation of Varaha and retrieved the earth to its original position.","Context:  ""Bhisma requested Sage Pulastya to describe how Lord Brahma created life in the beginning of the present Kalpa."""
13. Question:  What did Lord Brahma create after the Mahattatva and other elements?,"Answer:  After creating the Mahattatva and other elements, Lord Brahma created the 'Tanmatras,' Indriyas (senseorgans), immovable things like mountains, rivers, animals, deities, demons, and human beings.","Context:  ""At the end of the previous Kalpa when Lord Brahma awakened from his sleep, he found the whole earth submerged in water. He meditated on Lord Vishnu, who took the incarnation of Varaha and retrieved the earth and established it in its original position."""
